document_id,deviceId,jst_createdAt,loopCount,total_detections,image_path,Area A,Area C,Area D,Area E,Area F,Area B
17C3ayjl4ceLLUGQRWk5,f2a02747dd65c8d1,2025-07-22 09:26:42.000000 UTC,11521,41,./data/picture\f2a02747dd65c8d1_f2a02747dd65c8d1_20250722_092643_0000011521.jpg,0,4.0,12,11.0,14.0,
1pwGdFjOBaCJ2aQQHxwc,960afb85792f1633,2025-07-22 09:48:57.000000 UTC,11791,54,./data/picture\960afb85792f1633_960afb85792f1633_20250722_094857_0000011791.jpg,3,33.0,4,8.0,,6.0
6ZYZUcOCgOdDeiOQZPFk,960afb85792f1633,2025-07-22 15:03:21.000000 UTC,12401,45,./data/picture\960afb85792f1633_960afb85792f1633_20250722_150321_0000012401.jpg,3,23.0,5,8.0,,5.0
6b3QOxVaOD2IH77blLoM,b593f5cd66edab03,2025-07-22 21:03:52.000000 UTC,12691,6,./data/picture\b593f5cd66edab03_b593f5cd66edab03_20250722_210352_0000012691.jpg,3,3.0,0,,,0.0
6yOMcVCZGA2RNeGag51y,afcc7a113c41f44e,2025-07-22 15:01:30.000000 UTC,11981,37,./data/picture\afcc7a113c41f44e_afcc7a113c41f44e_20250722_150130_0000011981.jpg,0,,14,,22.0,
78Q9849gMjJ3NUCdi0qz,b593f5cd66edab03,2025-07-22 09:22:23.000000 UTC,11271,23,./data/picture\b593f5cd66edab03_b593f5cd66edab03_20250722_092223_0000011271.jpg,4,12.0,0,,,7.0
D2ieJ1z4kyxZ4I0pgczz,b593f5cd66edab03,2025-07-22 15:09:23.000000 UTC,11961,25,./data/picture\b593f5cd66edab03_b593f5cd66edab03_20250722_150923_0000011961.jpg,8,11.0,4,,,0.0
GzJvdWM4BJO4QAUFy7OK,b593f5cd66edab03,2025-07-22 17:00:41.000000 UTC,12181,30,./data/picture\b593f5cd66edab03_b593f5cd66edab03_20250722_170042_0000012181.jpg,5,13.0,3,,,9.0
IMTOJuK11nEgeeHpWnBN,960afb85792f1633,2025-07-22 17:01:33.000000 UTC,12631,52,./data/picture\960afb85792f1633_960afb85792f1633_20250722_170133_0000012631.jpg,1,35.0,5,8.0,,3.0
L0DCzaIb5FheiIlrhBP1,f2a02747dd65c8d1,2025-07-22 19:37:21.000000 UTC,12741,20,./data/picture\f2a02747dd65c8d1_f2a02747dd65c8d1_20250722_193722_0000012741.jpg,0,5.0,7,5.0,3.0,
NfZxM9raXOiyNbrg34ai,f2a02747dd65c8d1,2025-07-22 21:14:26.000000 UTC,12951,7,./data/picture\f2a02747dd65c8d1_f2a02747dd65c8d1_20250722_211426_0000012951.jpg,0,3.0,1,0.0,3.0,
Oj3wv3YmW8pNlo38vJ2A,afcc7a113c41f44e,2025-07-22 21:23:06.000000 UTC,12761,0,./data/picture\afcc7a113c41f44e_afcc7a113c41f44e_20250722_212306_0000012761.jpg,0,,0,,0.0,
Q75ZPxt534VGsZPBxHVY,afcc7a113c41f44e,2025-07-22 17:09:58.000000 UTC,12231,50,./data/picture\afcc7a113c41f44e_afcc7a113c41f44e_20250722_170958_0000012231.jpg,0,,20,,30.0,
S2nuLlkeJznMc7NSaZPp,b593f5cd66edab03,2025-07-22 11:02:05.000000 UTC,11471,24,./data/picture\b593f5cd66edab03_b593f5cd66edab03_20250722_110205_0000011471.jpg,1,18.0,1,,,4.0
TwoeE4wddnBSLKKiPChM,afcc7a113c41f44e,2025-07-22 09:25:06.000000 UTC,11311,13,./data/picture\afcc7a113c41f44e_afcc7a113c41f44e_20250722_092506_0000011311.jpg,0,,1,,12.0,
Z69J1Y2F1z4Hq6Nzkj4I,afcc7a113c41f44e,2025-07-22 13:09:21.000000 UTC,11761,14,./data/picture\afcc7a113c41f44e_afcc7a113c41f44e_20250722_130921_0000011761.jpg,0,,1,,13.0,
aemHh1ieR530wNVjR3pY,960afb85792f1633,2025-07-22 21:11:17.000000 UTC,13151,8,./data/picture\960afb85792f1633_960afb85792f1633_20250722_211117_0000013151.jpg,0,6.0,2,0.0,,0.0
dSM8qKup69mp8c7KT13h,f2a02747dd65c8d1,2025-07-22 15:00:52.000000 UTC,12181,70,./data/picture\f2a02747dd65c8d1_f2a02747dd65c8d1_20250722_150052_0000012181.jpg,4,18.0,29,9.0,10.0,
ezjdsyjivO2ZG0ZugkfJ,afcc7a113c41f44e,2025-07-22 19:56:23.000000 UTC,12571,0,./data/picture\afcc7a113c41f44e_afcc7a113c41f44e_20250722_195623_0000012571.jpg,0,,0,,0.0,
fkBVlzu4w7VSgp7PctUn,f2a02747dd65c8d1,2025-07-22 11:07:29.000000 UTC,11721,64,./data/picture\f2a02747dd65c8d1_f2a02747dd65c8d1_20250722_110730_0000011721.jpg,2,17.0,13,9.0,23.0,
hBGNHwlYZYPf2J1Vpmsv,f2a02747dd65c8d1,2025-07-22 13:34:41.000000 UTC,12011,44,./data/picture\f2a02747dd65c8d1_f2a02747dd65c8d1_20250722_133441_0000012011.jpg,0,9.0,18,4.0,13.0,
lCDxWVmt0Ms5KHp0ynKe,b593f5cd66edab03,2025-07-22 13:18:56.000000 UTC,11741,29,./data/picture\b593f5cd66edab03_b593f5cd66edab03_20250722_131856_0000011741.jpg,6,15.0,4,,,4.0
mA8uTDS19b2YV9e8XsDs,960afb85792f1633,2025-07-22 19:37:54.000000 UTC,12951,15,./data/picture\960afb85792f1633_960afb85792f1633_20250722_193754_0000012951.jpg,0,7.0,6,0.0,,2.0
o2bBBMbgOdsvD2up0ADE,960afb85792f1633,2025-07-22 13:41:05.000000 UTC,12241,41,./data/picture\960afb85792f1633_960afb85792f1633_20250722_134105_0000012241.jpg,3,26.0,9,2.0,,0.0
o6TVAbWftoFlmOlhJThY,f2a02747dd65c8d1,2025-07-22 17:02:28.000000 UTC,12421,73,./data/picture\f2a02747dd65c8d1_f2a02747dd65c8d1_20250722_170229_0000012421.jpg,3,18.0,26,5.0,21.0,
uF6CsS6g4qD3j4sI0q5h,afcc7a113c41f44e,2025-07-22 11:02:05.000000 UTC,11511,25,./data/picture\afcc7a113c41f44e_afcc7a113c41f44e_20250722_110210_0000011511.jpg,1,,4,,20.0,
v1PTOSuSFn11PdmwGndy,b593f5cd66edab03,2025-07-22 19:07:26.000000 UTC,12441,25,./data/picture\b593f5cd66edab03_b593f5cd66edab03_20250722_190726_0000012441.jpg,4,17.0,1,,,2.0
wVZzkwozfc0K5mcD9Pi9,960afb85792f1633,2025-07-22 11:27:03.000000 UTC,11981,46,./data/picture\960afb85792f1633_960afb85792f1633_20250722_112704_0000011981.jpg,0,32.0,6,7.0,,1.0
